,age,White,CI_White,Black,CI_Black,Hisp,CI_Hisp,Other,CI_Other,Asian,CI_Asian,American,CI_American,Unnamed: 0,Num_White,Num_Black,Num_Hisp,Num_Other,Num_Asian,Num_American
0,0-20,0.302,0.027,0.737,0.033,0.2,0.24,1.0,0.0,0.0,0.0,,,4,108,19,2,4,2,0
1,20-40,0.331,0.014,0.346,0.011,0.231,0.012,0.3,0.024,0.269,0.018,0.2,0.044,2,930,617,315,70,64,9
2,40-60,0.213,0.006,0.308,0.009,0.342,0.014,0.222,0.007,0.322,0.012,1.0,0.0,1,4278,1225,399,230,115,2
3,60-80,0.117,0.007,0.2,0.005,0.232,0.014,0.123,0.009,0.2,0.005,0.113,0.033,0,5143,942,268,364,160,30
4,80-,0.102,0.009,0.117,0.012,0.143,0.0,0.095,0.013,0.03,0.009,,,3,1159,121,14,55,66,0
