,age,FPR_White,CI_FPR_White,FNR_White,CI_FNR_White,FPR_Black,CI_FPR_Black,FNR_Black,CI_FNR_Black,FPR_Hisp,CI_FPR_Hisp,FNR_Hisp,CI_FNR_Hisp,FPR_Other,CI_FPR_Other,FNR_Other,CI_FNR_Other,FPR_Asian,CI_FPR_Asian,FNR_Asian,CI_FNR_Asian,FPR_American,CI_FPR_American,FNR_American,CI_FNR_American
0,0-20,0.302,0.027,0.063,0.014,0.737,0.033,0.0,0.0,0.2,0.24,0.0,0.0,1.0,0.0,0.027,0.032,0.0,0.0,0.042,0.039,,,,
1,20-40,0.331,0.014,0.084,0.007,0.346,0.011,0.071,0.003,0.231,0.012,0.111,0.003,0.3,0.024,0.119,0.019,0.269,0.018,0.18,0.018,0.2,0.044,0.2,0.065
2,40-60,0.213,0.006,0.22,0.005,0.308,0.009,0.177,0.009,0.342,0.014,0.159,0.018,0.222,0.007,0.175,0.019,0.322,0.012,0.082,0.007,1.0,0.0,0.0,0.0
3,60-80,0.117,0.007,0.394,0.014,0.2,0.005,0.357,0.02,0.232,0.014,0.276,0.024,0.123,0.009,0.301,0.016,0.2,0.005,0.191,0.007,0.113,0.033,1.0,0.0
4,80-,0.102,0.009,0.492,0.016,0.117,0.012,0.382,0.021,0.143,0.0,0.685,0.056,0.095,0.013,,,0.03,0.009,0.1,0.196,,,,
